Grid,Year,Rx1day,Rx5day,R5mm,R10mm,R20mm,R50mm,CDD,CWD,R95p,R99p,SDII
101,2000,68.0852013377794,114.672049733486,122,56,15,1,25,13,224.87979882901,68.0852013377794,10.830050917932
101,2001,51.7212645412895,104.880347652297,118,55,12,1,28,11,118.582580375738,51.7212645412895,10.2303762298816
101,2002,41.8245818246328,97.9769596593974,112,56,15,0,23,13,77.2210783167131,0,10.1377073838417
101,2003,51.8740475631121,84.5317536134241,117,51,11,1,19,11,119.274124015686,51.8740475631121,10.0925728255833
101,2004,45.7809583404645,129.205406204897,103,53,22,0,24,14,344.82772630392,0,11.1858209556729
101,2005,40.5955093867063,111.850958337608,117,70,23,0,30,16,250.651660061665,0,11.7664032496765
101,2006,47.61570919327,129.921979071088,123,72,22,0,23,41,214.362094467992,47.61570919327,10.561750726926
101,2007,78.778798303963,147.773180557494,119,61,16,1,27,19,250.906802630302,78.778798303963,10.6330452032378
101,2008,45.0709200199449,162.577245202683,124,63,23,0,13,21,228.047774957204,0,10.9304016987984
101,2009,39.5372022889879,112.693270583321,117,72,18,0,28,23,173.141173137071,0,10.8460085398364
101,2010,42.6136595261369,133.152963075405,139,80,17,0,28,14,366.854977056268,0,11.6494369081593
101,2011,56.3749331389637,122.574211748524,139,76,23,1,13,18,196.966259025155,56.3749331389637,11.7795375947476
101,2012,65.491922368418,179.093585107742,114,55,20,1,25,33,397.113180784343,114.726001512996,11.127774679182
101,2013,61.5755112346095,125.105839682037,124,51,14,1,18,15,226.209395360606,61.5755112346095,9.64881855573771
101,2014,51.0221265093777,173.248751182854,128,78,21,1,20,15,156.549046205074,51.0221265093777,11.1737324892563
101,2015,44.829657256706,105.665029779727,135,62,8,0,21,18,110.902165623375,0,9.54439983417557
101,2016,59.5199962090693,197.978342549503,75,37,10,1,23,18,156.440839962938,156.440839962938,9.15111795002926
101,2017,66.8354723954831,136.347797316198,130,63,14,1,19,19,234.539044060674,66.8354723954831,9.95773037735626
101,2018,30.5528800260364,91.6586435832174,133,62,9,0,17,33,30.5528800260364,0,8.41972000455972
101,2019,33.4612039924642,113.626521794862,127,61,11,0,15,23,97.4148451058859,0,9.11651770886764
101,2020,37.1527870243402,89.0993973104093,100,42,6,0,16,17,70.6679976323989,0,7.7721810806303
101,2021,35.1754831438696,121.649040124242,146,77,17,0,15,12,223.547924667046,0,10.2441013733743
101,2022,63.2574545022355,87.5879395079191,125,60,20,1,24,26,158.84392889867,63.2574545022355,8.94800786590382
101,2023,40.1016273647651,150.745632328123,150,81,28,0,20,22,301.66213176419,0,11.4515781909571
101,2024,50.2028361273044,131.466166700244,99,63,21,1,27,17,311.978679123116,50.2028361273044,10.0489369653207
102,1981,117.055212129073,133.709167578315,108,71,28,2,24,9,167.721826550521,117.055212129073,15.2020774520368
102,1982,54.576371419354,116.582528181946,92,58,19,1,34,13,237.141939933578,0,14.4352698516334
102,1983,53.5690412999059,110.792423112016,68,54,20,2,29,8,105.105791040279,0,15.6570224603664
102,1984,123.867775733678,280.177112810688,130,94,41,7,27,20,552.914081899369,291.867563906935,16.6722001610603
102,1985,81.8098900615856,186.634951142751,85,66,29,3,17,8,388.288180726309,149.009783213574,17.9483463336162
102,1986,95.3993195306882,261.269119487638,82,53,30,6,35,21,428.436302036985,95.3993195306882,16.5298946447926
102,1987,47.8181357977089,114.794386091152,90,60,17,0,19,8,186.392757231931,0,13.1450427531769
102,1988,57.6796029996922,188.39975929265,109,79,30,4,28,8,316.236439703246,0,17.3007409929022
102,1989,103.415008270826,181.679342703942,92,61,18,2,17,10,158.181645416256,103.415008270826,13.5380604286487
102,1990,128.073121915941,208.366792462127,87,71,30,6,47,6,665.677085078844,423.095591260099,23.0052701387262
102,1991,122.574116238686,165.06875185834,81,55,24,4,32,5,421.505483631142,122.574116238686,18.4108244052624
102,1992,119.284456259307,226.375209264923,85,63,22,6,28,9,440.403829966749,272.473339588269,18.0956752845134
102,1993,96.5160538244787,217.161122936269,100,74,31,9,19,6,680.581572689812,422.78747245465,20.6725527116116
102,1994,79.3380022818295,204.881542956306,98,78,41,8,25,5,566.586934848927,79.3380022818295,21.4693534812911
102,1995,70.2838382851368,167.875985509185,103,75,36,5,33,14,441.608680384246,136.421494639547,17.9122878263471
102,1996,141.669142456904,275.293125470348,94,71,35,7,33,8,661.621356336026,299.484186782814,20.0293240110245
102,1997,91.5837498728877,253.310501227228,106,84,33,4,23,8,412.691331277144,158.69769445212,19.6126922979222
102,1998,54.1830302559475,179.253243698765,106,67,28,3,31,10,201.629777673345,0,15.1336189999191
102,1999,58.2590223165658,196.526984728691,125,82,34,4,15,13,362.405782803176,0,16.3403311495501
102,2000,80.7933037667175,179.465353210695,117,76,30,8,21,16,598.407912550291,160.286379163137,14.8588571067156
102,2001,102.403671253111,215.431999548692,130,80,25,4,27,13,354.628037734881,102.403671253111,13.8742648122374
102,2002,46.8658745448775,116.532343579484,122,79,30,0,23,23,46.8658745448775,0,13.5126525678809
102,2003,90.0510371682745,132.351920339866,114,75,23,4,21,11,324.946982652195,165.045798043813,14.7954564534079
102,2004,82.2858658629334,138.557449042066,124,75,30,3,24,11,278.206433172794,82.2858658629334,14.5781660980771
102,2005,97.8897344171123,159.995258588553,125,82,37,4,31,15,408.55646983997,97.8897344171123,16.0106918977792
102,2006,65.3905274742968,252.108039533828,140,90,40,5,23,21,337.681235607713,0,14.0047573284801
102,2007,172.37770244187,301.577605524885,130,82,30,4,27,16,428.942000067163,172.37770244187,14.6214251556466
102,2008,59.9510178276247,205.546339456205,136,80,28,2,22,9,213.50785880713,0,14.8106150031031
102,2009,61.6502531355017,169.76675828873,136,83,37,2,18,22,206.23478695887,0,14.2687951476699
102,2010,66.0172561021423,211.793371654955,142,96,34,5,28,19,428.64481099156,0,14.8274226362999
102,2011,77.1243362282184,238.248199753956,155,93,48,7,13,18,571.168444304035,77.1243362282184,16.3466003240062
102,2012,79.3962892428523,241.432980370401,115,73,29,5,28,32,583.244277944481,79.3962892428523,16.0243914622481
102,2013,91.8699281050731,214.380509999587,133,85,31,3,25,14,252.687672641102,91.8699281050731,13.9061734023076
102,2014,64.6503877255251,249.662493680682,145,93,32,4,35,17,311.603831462693,0,15.2793363278773
102,2015,57.3224350000922,151.153534955161,152,91,20,1,21,29,102.920763449685,0,12.5513252199082
102,2016,60.2209802550414,196.126015787785,91,49,21,2,15,9,202.400830302295,0,12.143268981644
102,2017,68.7425144966687,204.588871386672,130,87,29,4,18,19,365.724906914846,68.7425144966687,13.8465765529103
102,2018,52.5208454313807,128.708340450114,151,84,21,1,17,47,139.746192366691,0,10.9931365539542
102,2019,45.6734615704481,142.443272151456,145,82,29,0,15,15,90.9240330112658,0,12.4225930279876
102,2020,43.8323020017021,109.852083186481,136,60,14,0,16,17,43.8323020017021,0,9.95795546849662
102,2021,52.315141697922,154.761533783112,161,105,38,1,14,12,95.5549455781444,0,14.243886888654
102,2022,60.0642999341032,112.847427505139,140,77,31,1,24,11,194.254489816656,0,12.0913228424806
102,2023,67.6324301917544,186.464189355302,159,116,54,3,20,27,303.250718214286,67.6324301917544,15.9483845185578
102,2024,92.424701159348,221.828407720853,113,80,35,5,27,17,422.092769389198,252.63410407597,14.3331429015562
103,1981,48.3446382307607,176.946948932447,97,63,24,0,24,12,140.27085894924,0,15.5226522676047
103,1982,71.2815400200039,109.606337443883,91,57,18,1,35,7,120.491769570387,0,14.7308766683251
103,1983,66.0913559283728,127.651477866451,63,52,17,2,29,6,210.700536182617,0,16.3654007276094
103,1984,108.840230939509,251.693026852675,111,81,36,7,29,20,671.240745195184,204.07542821159,16.4955815048471
103,1985,84.6478347447146,133.853493878428,75,60,31,3,24,6,245.423217705636,84.6478347447146,18.3598756547855
103,1986,85.2230559196611,225.064042329127,73,54,23,5,31,8,368.051291028986,167.996072080447,16.233982085778
103,1987,45.7498386891502,118.22543526572,92,56,22,0,27,8,45.7498386891502,0,13.9988872725905
103,1988,57.1354083308649,189.509493345223,100,67,24,3,27,8,311.457754307519,0,16.8876236063941
103,1989,84.8279646890234,148.491195735857,73,50,17,3,20,10,222.212965013594,168.291865137966,15.0963147434108
103,1990,121.005810799268,186.602496356804,76,60,34,7,41,5,750.485228158597,440.456959421346,25.1558838089396
